,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district_x,predicted_sales,has_shop,rent,disposal,cost_per_grid,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,num_mtr_station_within_1km,num_competitor_within_1km,district_y,zoneName
23,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Hong Kong, Mong Kok, Sai Yee St, 135A-135B號135A- 號 Mong Kok Building",ChIJ-WMijMgABDQR0eW42qT72Hw,4.1,9,"['store', 'point_of_interest', 'establishment']",22.3209789,114.1711607,124,7,15,Yau Tsim Mong,006-011
25,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094,"25-29號 Great George St, Causeway Bay, Hong Kong",ChIJk3dQL1QABDQRM77UUNtOEYQ,4.0,969,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2807587,114.1859489,93,2,4,Wan Chai,004-011
7,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Rondall Building, 香港塘尾, 168-178號 Tai Po Rd, Tai Kok Tsui, Hong Kong",ChIJ2184JbUABDQR88rSBoKEp5s,3.9,32,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3312467,114.1653316,145,4,13,Sham Shui Po,006-011
11,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Yau Yat Lau, 11-11C Fa Po St, Yau Yat Chuen, Hong Kong",ChIJ-21OOTMHBDQRr557eeWzPdc,3.9,195,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3314516,114.1756327,88,3,2,Yau Tsim Mong,006-011
17,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Shop 1-11, Block 5, G/F Prosperous Garden, 3 Public Square St, Hong Kong",ChIJOUA6EcAABDQREAlUjAgIfDk,3.9,100,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3100436,114.1687768,89,5,14,Yau Tsim Mong,006-011
2,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Hong Kong, Ho Man Tin, Liberty Ave, 7號富威花園地下C舖",ChIJTf5c_sUABDQRk4rI4qqKbQI,3.8,29,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3189264,114.174401,120,7,11,Yau Tsim Mong,006-011
29,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094,"13-19號 Sing Woo Rd, Happy Valley, Hong Kong",ChIJKzlxg04ABDQRQVbZP8r14Cc,3.8,131,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2694819,114.1857327,79,0,0,Wan Chai,004-011
22,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Golden Centre, 94 Yen Chow St, Un Chau, Hong Kong",ChIJjc10VbMABDQRG3wFxeHFhCw,3.8,89,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.332432,114.161867,153,3,14,Sham Shui Po,006-011
0,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"125, Metro Harbour View Plaza, 8 Fuk Lee St, Tai Kok Tsui, Hong Kong",ChIJfzdi4rAABDQRYsiJViBAKIs,3.7,259,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3244101,114.1604543,117,6,14,Sham Shui Po,006-011
14,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Wearbest Building, 66 To Kwa Wan Rd, To Kwa Wan, Hong Kong",ChIJcbEJNtgABDQRoRteMKfSZTI,3.7,318,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3157615,114.1889025,90,0,8,Kowloon City District,006-011
