id,STOP_ID,X,Y,LAST_UPDATE_DATE_STR,geometry,longitude,latitude
GS_BUS_STOP_VIEW.134,134,836298,815477,10/24/2022,POINT (114.17716544074156 22.278157267915223),114.17716544074156,22.278157267915223
GS_BUS_STOP_VIEW.135,135,836643,815593,10/24/2022,POINT (114.18051304472341 22.279204780631602),114.18051304472341,22.279204780631602
GS_BUS_STOP_VIEW.136,136,837048,815708,10/24/2022,POINT (114.1844428939664 22.280243167292028),114.1844428939664,22.280243167292028
GS_BUS_STOP_VIEW.137,137,837583,815779,10/24/2022,POINT (114.1896341986785 22.280884016074378),114.1896341986785,22.280884016074378
GS_BUS_STOP_VIEW.139,139,837920,816521,10/24/2022,POINT (114.19290497970104 22.287584455024394),114.19290497970104,22.287584455024394
GS_BUS_STOP_VIEW.140,140,838144,816797,10/24/2022,POINT (114.19507894788785 22.2900766785106),114.19507894788785,22.2900766785106
GS_BUS_STOP_VIEW.141,141,838430,816875,10/24/2022,POINT (114.19785438078686 22.29078073155024),114.19785438078686,22.29078073155024
GS_BUS_STOP_VIEW.142,142,838780,816951,10/24/2022,POINT (114.20125089683347 22.291466583534433),114.20125089683347,22.291466583534433
GS_BUS_STOP_VIEW.143,143,838903,816977,10/24/2022,POINT (114.20244453630511 22.291701195776277),114.20244453630511,22.291701195776277
GS_BUS_STOP_VIEW.144,144,839307,817023,10/24/2022,POINT (114.2063650614343 22.29211593836012),114.2063650614343,22.29211593836012
GS_BUS_STOP_VIEW.146,146,839665,816681,10/24/2022,POINT (114.20983839761932 22.289026795170553),114.20983839761932,22.289026795170553
GS_BUS_STOP_VIEW.147,147,839820,816304,10/24/2022,POINT (114.21134166148572 22.285621935363828),114.21134166148572,22.285621935363828
GS_BUS_STOP_VIEW.148,148,840107,816212,10/24/2022,POINT (114.2141263839489 22.284790501366263),114.2141263839489,22.284790501366263
GS_BUS_STOP_VIEW.149,149,840309,816209,10/24/2022,POINT (114.21608649874328 22.284762947296453),114.21608649874328,22.284762947296453
GS_BUS_STOP_VIEW.151,151,840885,815970,10/24/2022,POINT (114.22167506878982 22.28260317852947),114.22167506878982,22.28260317852947
GS_BUS_STOP_VIEW.152,152,841084,815772,10/24/2022,POINT (114.22360545541996 22.28081456823363),114.22360545541996,22.28081456823363
GS_BUS_STOP_VIEW.155,155,842217,813970,10/24/2022,POINT (114.23459261207171 22.264537812010996),114.23459261207171,22.264537812010996
GS_BUS_STOP_VIEW.156,156,842460,814004,10/24/2022,POINT (114.23695037206024 22.26484399870116),114.23695037206024,22.26484399870116
GS_BUS_STOP_VIEW.157,157,843166,814251,10/24/2022,POINT (114.24380118424541 22.267071889255945),114.24380118424541,22.267071889255945
GS_BUS_STOP_VIEW.159,159,843713,813827,10/24/2022,POINT (114.24910640264886 22.26324061983776),114.24910640264886,22.26324061983776
GS_BUS_STOP_VIEW.161,161,843014,814319,10/24/2022,POINT (114.24232671291459 22.267686574553487),114.24232671291459,22.267686574553487
GS_BUS_STOP_VIEW.163,163,833926,816392,10/24/2022,POINT (114.1541483074209 22.28641871557335),114.1541483074209,22.28641871557335
GS_BUS_STOP_VIEW.166,166,842849,815253,10/24/2022,POINT (114.24072964898534 22.276121831553613),114.24072964898534,22.276121831553613
GS_BUS_STOP_VIEW.167,167,842716,815421,10/24/2022,POINT (114.23943982872733 22.277639481165636),114.23943982872733,22.277639481165636
GS_BUS_STOP_VIEW.169,169,841886,815765,10/24/2022,POINT (114.23138747751014 22.2807489252706),114.23138747751014,22.2807489252706
GS_BUS_STOP_VIEW.170,170,841894,815555,10/24/2022,POINT (114.23146436712723 22.278852465931582),114.23146436712723,22.278852465931582
GS_BUS_STOP_VIEW.171,171,841899,815422,10/24/2022,POINT (114.23151241596999 22.27765137498976),114.23151241596999,22.27765137498976
GS_BUS_STOP_VIEW.172,172,841853,815204,10/24/2022,POINT (114.23106531512168 22.275682845608245),114.23106531512168,22.275682845608245
GS_BUS_STOP_VIEW.173,173,840926,815874,10/24/2022,POINT (114.22207263025136 22.281736127369477),114.22207263025136,22.281736127369477
GS_BUS_STOP_VIEW.174,174,840890,816049,10/24/2022,POINT (114.22172381368904 22.28331658506854),114.22172381368904,22.28331658506854
GS_BUS_STOP_VIEW.175,175,841067,816147,10/24/2022,POINT (114.22344162186572 22.28420110287937),114.22344162186572,22.28420110287937
GS_BUS_STOP_VIEW.176,176,841074,816036,10/24/2022,POINT (114.22350921382318 22.28319868329697),114.22350921382318,22.28319868329697
GS_BUS_STOP_VIEW.178,178,838672,816950,10/24/2022,POINT (114.20020285921231 22.29145770722907),114.20020285921231,22.29145770722907
GS_BUS_STOP_VIEW.179,179,838824,817153,10/24/2022,POINT (114.2016781970269 22.29329070470515),114.2016781970269,22.29329070470515
GS_BUS_STOP_VIEW.180,180,840458,816272,10/24/2022,POINT (114.2175324959655 22.28533152093387),114.2175324959655,22.28533152093387
GS_BUS_STOP_VIEW.181,181,840970,815943,10/24/2022,POINT (114.22249978066012 22.282359121518766),114.22249978066012,22.282359121518766
GS_BUS_STOP_VIEW.182,182,841853,815253,10/24/2022,POINT (114.2310654857397 22.276125346910938),114.2310654857397,22.276125346910938
GS_BUS_STOP_VIEW.183,183,841886,815478,10/24/2022,POINT (114.23138647207834 22.278157133068216),114.23138647207834,22.278157133068216
GS_BUS_STOP_VIEW.185,185,841886,815796,10/24/2022,POINT (114.23138758611945 22.281028874901672),114.23138758611945,22.281028874901672
GS_BUS_STOP_VIEW.187,187,842109,815991,10/24/2022,POINT (114.23355213548739 22.28278910655754),114.23355213548739,22.28278910655754
GS_BUS_STOP_VIEW.188,188,842901,815158,10/24/2022,POINT (114.24123381083703 22.27526372166726),114.24123381083703,22.27526372166726
GS_BUS_STOP_VIEW.193,193,835646,819170,10/24/2022,POINT (114.17083758481098 22.31150724354545),114.17083758481098,22.31150724354545
GS_BUS_STOP_VIEW.197,197,835121,820596,10/24/2022,POINT (114.16574122047899 22.32438460496058),114.16574122047899,22.32438460496058
GS_BUS_STOP_VIEW.199,199,834678,821204,10/24/2022,POINT (114.16144072146614 22.329874849789995),114.16144072146614,22.329874849789995
GS_BUS_STOP_VIEW.204,204,834324,821654,10/24/2022,POINT (114.15800400677392 22.333938248105405),114.15800400677392,22.333938248105405
GS_BUS_STOP_VIEW.206,206,834566,821817,10/24/2022,POINT (114.1603529215683 22.33541048804364),114.1603529215683,22.33541048804364
GS_BUS_STOP_VIEW.207,207,834659,821424,10/24/2022,POINT (114.16125607372821 22.331861560067804),114.16125607372821,22.331861560067804
GS_BUS_STOP_VIEW.209,209,835033,821091,10/24/2022,POINT (114.16488668439868 22.328854684455116),114.16488668439868,22.328854684455116
GS_BUS_STOP_VIEW.211,211,835378,820715,10/24/2022,POINT (114.16823567721596 22.325459396398227),114.16823567721596,22.325459396398227
GS_BUS_STOP_VIEW.214,214,835626,819406,10/24/2022,POINT (114.17064338245257 22.313638458320266),114.17064338245257,22.313638458320266
GS_BUS_STOP_VIEW.216,216,835700,818992,10/24/2022,POINT (114.17136174025167 22.30989981454079),114.17136174025167,22.30989981454079
GS_BUS_STOP_VIEW.220,220,837138,816089,10/24/2022,POINT (114.18531639544236 22.28368379626396),114.18531639544236,22.28368379626396
GS_BUS_STOP_VIEW.222,222,837996,816726,10/24/2022,POINT (114.19364268769428 22.28943565912763),114.19364268769428,22.28943565912763
GS_BUS_STOP_VIEW.223,223,838129,816883,10/24/2022,POINT (114.19493348878319 22.29085332866283),114.19493348878319,22.29085332866283
GS_BUS_STOP_VIEW.230,230,836492,815437,10/24/2022,POINT (114.17904784039159 22.27779602746838),114.17904784039159,22.27779602746838
GS_BUS_STOP_VIEW.232,232,835728,815508,10/24/2022,POINT (114.17163465180656 22.27843713508193),114.17163465180656,22.27843713508193
GS_BUS_STOP_VIEW.233,233,835151,815546,10/24/2022,POINT (114.16603591396195 22.27878002382399),114.16603591396195,22.27878002382399
GS_BUS_STOP_VIEW.235,235,836292,815366,10/24/2022,POINT (114.17710722002298 22.27715486690326),114.17710722002298,22.27715486690326
GS_BUS_STOP_VIEW.237,237,836801,815358,10/24/2022,POINT (114.18204607041373 22.277082538150406),114.18204607041373,22.277082538150406
GS_BUS_STOP_VIEW.238,238,837047,815413,10/24/2022,POINT (114.18443304663624 22.277579129152215),114.18443304663624,22.277579129152215
GS_BUS_STOP_VIEW.241,241,834511,816209,10/24/2022,POINT (114.15982516579446 22.28476680384318),114.15982516579446,22.28476680384318
GS_BUS_STOP_VIEW.245,245,834272,815291,10/24/2022,POINT (114.15750715007616 22.27647641974202),114.15750715007616,22.27647641974202
GS_BUS_STOP_VIEW.246,246,833932,815614,10/24/2022,POINT (114.15420765975024 22.27939289034198),114.15420765975024,22.27939289034198
GS_BUS_STOP_VIEW.248,248,833436,816000,10/24/2022,POINT (114.14939419031644 22.28287797395899),114.14939419031644,22.28287797395899
GS_BUS_STOP_VIEW.250,250,833382,815997,10/24/2022,POINT (114.14887020968219 22.282850792672335),114.14887020968219,22.282850792672335
GS_BUS_STOP_VIEW.253,253,833835,815532,10/24/2022,POINT (114.15326657294013 22.278652244150628),114.15326657294013,22.278652244150628
GS_BUS_STOP_VIEW.254,254,834007,815242,10/24/2022,POINT (114.15493592296086 22.27603359203488),114.15493592296086,22.27603359203488
GS_BUS_STOP_VIEW.256,256,834499,815490,10/24/2022,POINT (114.15970951325474 22.27827376432814),114.15970951325474,22.27827376432814
GS_BUS_STOP_VIEW.258,258,834268,815892,10/24/2022,POINT (114.15746759100108 22.281903828829282),114.15746759100108,22.281903828829282
GS_BUS_STOP_VIEW.259,259,834501,816238,10/24/2022,POINT (114.15972809818612 22.28502868198661),114.15972809818612,22.28502868198661
GS_BUS_STOP_VIEW.262,262,833930,815954,10/24/2022,POINT (114.15418775906133 22.282463303987157),114.15418775906133,22.282463303987157
GS_BUS_STOP_VIEW.264,264,833971,815683,10/24/2022,POINT (114.15458598619693 22.280016056619775),114.15458598619693,22.280016056619775
GS_BUS_STOP_VIEW.265,265,832968,816215,10/24/2022,POINT (114.14485253672694 22.28481872905771),114.14485253672694,22.28481872905771
GS_BUS_STOP_VIEW.267,267,832829,816113,10/24/2022,POINT (114.14350395764778 22.283897333364454),114.14350395764778,22.283897333364454
GS_BUS_STOP_VIEW.269,269,833170,815966,10/24/2022,POINT (114.14681313955626 22.282570475753307),114.14681313955626,22.282570475753307
GS_BUS_STOP_VIEW.270,270,833244,815926,10/24/2022,POINT (114.14753126814527 22.282209381543293),114.14753126814527,22.282209381543293
GS_BUS_STOP_VIEW.274,274,835989,816137,01/16/2023,POINT (114.17416706380348 22.28411746681115),114.17416706380348,22.28411746681115
GS_BUS_STOP_VIEW.277,277,837142,815686,10/24/2022,POINT (114.18535498875619 22.28004444791586),114.18535498875619,22.28004444791586
GS_BUS_STOP_VIEW.279,279,837660,815504,10/24/2022,POINT (114.1903811140841 22.27840052987817),114.1903811140841,22.27840052987817
GS_BUS_STOP_VIEW.280,280,837992,815357,10/24/2022,POINT (114.19360239719893 22.277072724899707),114.19360239719893,22.277072724899707
GS_BUS_STOP_VIEW.282,282,838031,815887,10/24/2022,POINT (114.19398139972543 22.281858923718417),114.19398139972543,22.281858923718417
GS_BUS_STOP_VIEW.283,283,838143,816113,10/24/2022,POINT (114.19506844251084 22.28389972867139),114.19506844251084,22.28389972867139
GS_BUS_STOP_VIEW.284,284,838095,816208,10/24/2022,POINT (114.19460278218666 22.28475769046874),114.19460278218666,22.28475769046874
GS_BUS_STOP_VIEW.285,285,838228,816499,10/24/2022,POINT (114.1958937140719 22.28738545765104),114.1958937140719,22.28738545765104
GS_BUS_STOP_VIEW.286,286,838437,816583,10/24/2022,POINT (114.19792191302903 22.28814377961472),114.19792191302903,22.28814377961472
GS_BUS_STOP_VIEW.287,287,838660,816583,10/24/2022,POINT (114.20008586240415 22.28814348398495),114.20008586240415,22.28814348398495
GS_BUS_STOP_VIEW.288,288,838908,816647,10/24/2022,POINT (114.20249251247135 22.288721081524127),114.20249251247135,22.288721081524127
GS_BUS_STOP_VIEW.289,289,838612,816266,10/24/2022,POINT (114.19961961549535 22.285280840319263),114.19961961549535,22.285280840319263
GS_BUS_STOP_VIEW.291,291,838599,816248,10/24/2022,POINT (114.19949344234536 22.28511830660902),114.19949344234536,22.28511830660902
GS_BUS_STOP_VIEW.292,292,838548,816462,10/24/2022,POINT (114.19899886349161 22.2870509299432),114.19899886349161,22.2870509299432
GS_BUS_STOP_VIEW.293,293,838382,816481,10/24/2022,POINT (114.19738806882472 22.28722272392186),114.19738806882472,22.28722272392186
GS_BUS_STOP_VIEW.294,294,838321,816399,10/24/2022,POINT (114.19679603517945 22.286482286148363),114.19679603517945,22.286482286148363
GS_BUS_STOP_VIEW.295,295,838262,816243,10/24/2022,POINT (114.19622332287192 22.28507357708006),114.19622332287192,22.28507357708006
GS_BUS_STOP_VIEW.296,296,838179,816503,10/24/2022,POINT (114.1954182347694 22.287421635319664),114.1954182347694,22.287421635319664
GS_BUS_STOP_VIEW.297,297,837735,816061,10/24/2022,POINT (114.19110936017314 22.283430532260336),114.19110936017314,22.283430532260336
GS_BUS_STOP_VIEW.300,300,837994,815807,10/24/2022,POINT (114.19362228855492 22.281136510360707),114.19362228855492,22.281136510360707
GS_BUS_STOP_VIEW.301,301,837997,815555,10/24/2022,POINT (114.19365112629909 22.278860786615454),114.19365112629909,22.278860786615454
GS_BUS_STOP_VIEW.304,304,837697,815460,10/24/2022,POINT (114.190740090846 22.278003151357336),114.190740090846,22.278003151357336
GS_BUS_STOP_VIEW.306,306,832399,813206,01/17/2023,POINT (114.13933844151175 22.257644334545198),114.13933844151175,22.257644334545198
GS_BUS_STOP_VIEW.307,307,832242,813359,10/24/2022,POINT (114.13781489118445 22.259025666984023),114.13781489118445,22.259025666984023
GS_BUS_STOP_VIEW.308,308,832244,813020,10/24/2022,POINT (114.13783514257126 22.25596427762318),114.13783514257126,22.25596427762318
GS_BUS_STOP_VIEW.309,309,832551,812615,10/24/2022,POINT (114.1408144654115 22.252307545666522),114.1408144654115,22.252307545666522
GS_BUS_STOP_VIEW.310,310,833337,812297,10/24/2022,POINT (114.14844029488344 22.24943730349278),114.14844029488344,22.24943730349278
GS_BUS_STOP_VIEW.312,312,834349,812084,10/24/2022,POINT (114.15825810193657 22.24751518818082),114.15825810193657,22.24751518818082
GS_BUS_STOP_VIEW.313,313,834784,812219,10/24/2022,POINT (114.1624779161916 22.24873475627161),114.1624779161916,22.24873475627161
GS_BUS_STOP_VIEW.315,315,836149,812357,10/24/2022,POINT (114.1757198972767 22.24998161843498),114.1757198972767,22.24998161843498
GS_BUS_STOP_VIEW.316,316,836617,815262,10/24/2022,POINT (114.18026068874526 22.276215644096435),114.18026068874526,22.276215644096435
GS_BUS_STOP_VIEW.318,318,835455,815421,10/24/2022,POINT (114.16898573849983 22.27765136306804),114.16898573849983,22.27765136306804
GS_BUS_STOP_VIEW.319,319,834749,815623,10/24/2022,POINT (114.16213516978563 22.27947507692229),114.16213516978563,22.27947507692229
