name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
express by PARKnSHOP,"Chek Lap Kok, Scenic Rd, 8號地面上層H-I室 Units H & I, 1/F, Cathay Pacific Headquarter Bdg, Cathay Pacific City Cathay Pacific City, 香港國際機場",ChIJBWcewr7iAzQRtFniX2gwnjI,4.9,8,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2982149,113.9341451
Wellcome - Yat Tung Superstore,"Shop No 110, 1/F Eaton Shopping Centre, Yat Tung Estate, Tung Chung",ChIJibJ9J6HiAzQR6f60A8w4neE,3.6,214,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2813936,113.9347961
Market Place,Tung Chung,ChIJc_HM8LTiAzQR2y2gEnZ7rec,4.1,85,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2949658,113.951054
Wellcome,"Ying Tung Rd, Tung Chung",ChIJY0vZg8_jAzQRdi4RNFDW0Io,3.8,31,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.296,113.9534569
Wellcome Supermarket,"Government Offices, Mui Wo, 2 Ngan Kwong Wan Rd, Lantau Island",ChIJeQk2SitWATQRkLuiM6FNDSM,3.9,140,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2640112,114.0015092
Wellcome - Ying Tung,Tung Chung,ChIJqVhNLz_jAzQRHwriHFhegOs,4.5,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2957596,113.953022
Fusion (大嶼山梅窩),"Lantau Island, 大嶼山梅窩碼頭路12號梅窩大廈地下及1樓 G/F, Mui Wo Bldg, 12, Mui Wo Ferry Pier Rd, Mui Wo",ChIJibcJttRXATQRj7Vs4jOnIMY,3.7,131,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2641581,114.000715
Market Place by Jasons (Fu Tung Plaza),"107, 1/F Fu Tung Plaza, Fu Tung St, Tung Chung",ChIJ39F8_a_iAzQR6jB2nc8LWSM,3.5,58,"['supermarket', 'department_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2887074,113.9422483
Market Place by Jasons,"Commercial Complex of Coastal Skyline, 12, Tung Chung Waterfront Rd, Tung Chung",ChIJDYdYlLDiAzQRFrfZ3HPvRO4,4.0,106,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2922157,113.9442552
Fusion Click & Collect (東涌映灣薈),"大嶼山東涌健東路1號映灣薈1樓22-23號鋪 Shop 22-23, 1/F, Caribbean Bazaar, 1 Kin Tung Road Tung Chung, Lantau Island",ChIJIaKwAeXjAzQRKGsVmC0JO4s,3.8,288,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2915096,113.9484888
U Select,"Tung Chung, 滿東邨滿樂坊地下G08號舖",ChIJ59xDpiVZATQRyolhnJJrt50,3.4,50,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2777072,113.9334709
貝田園士多,Lantau Island,ChIJ5ytzLZZXATQR0q6_qevwNMk,3.5,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2416295,113.9767851
TASTE Click & Collect (東涌東薈城),"Lantau Island, 大嶼山東涌達東路20號東薈城B1-B10號鋪 B1-B10, Citygate, 20 Tat Tung Rd, Tung Chung",ChIJ1dQ6sLriAzQRJH_2gsz7xVY,4.0,1160,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2896486,113.9405428
優品360,"Yat Tung Estate, HK New Territories Lantau Island 東涌 新界大嶼山東涌逸東商場地下20號舖",ChIJ3d5cIpDjAzQRcwjFYLrwOmw,2.0,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2810924,113.9351372
優品360,大嶼山東涌東涌富東邨富東廣場一樓105號舖,ChIJQ027zI_jAzQRmngyw1jQ7HY,3.0,14,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2886301,113.9421882
大昌食品專門店,"逸東街8號 逸東村 逸東商場 地下 22號舖 Tung Chung, Lantau Island",ChIJs_DHJqHiAzQRM4P3vC7ylPc,3.2,5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.282131,113.936648
Fusion Click & Collect (東涌東環),"香港大嶼山東涌迎康街6號東環地下G07-09號舖 Shop G07-09 on Ground Floor, Century Link, 6 Ying Hong Street Tung Chung, Lantau Island",ChIJQT0zPrTiAzQRUWkwqX-5Yds,3.9,107,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.294855,113.9489933
"Shenzhen huiruipu Industrial Equipment Co., Ltd.","Lantau Island, 中心楼418室",ChIJTd1nGu9ZATQRT2o9mG99AnA,0.0,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2355825,113.9488398
Market Place,"Shop G11, 92 Siena Avenue, DB North Plaza Discovery Bay, Lantau Island",ChIJ7Y_lBrP9AzQRs6Y4pfFrrzk,4.0,121,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3081051,114.0166047
Ying Tung Market,"YT4-6 yiny tung shopping arcade, Tung Chung",ChIJZYmdwD7jAzQR_vLT2NF0PeQ,3.5,157,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2964779,113.9532189
PARKnSHOP (長洲東灣路),"地下 G/F, Eastern Commercial Plaza, 80號 Tung Wan Rd, Cheung Chau",ChIJASeQW4lXATQRbSBZBJFI9Bo,4.0,21,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2085247,114.0295422
PARKnSHOP (長洲海傍街),"長洲海傍街97A-99號地下 G/F, 97A & 99, Tai San Praya Rd, Cheung Chau",ChIJoYK7OnlXATQRjjzK_-9nzjM,3.3,55,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2070702,114.0287842
Fusion,"Shop G25, 1 Discovery Bay Rd, Discovery Bay",ChIJwaQqvbv9AzQR9SVM9Ko5B3M,3.9,257,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2952139,114.0166301
Wellcome - Peng Chau,"12號 Po Peng St, Peng Chau",ChIJTdfeVt39AzQRhOCwQtPO9_Y,3.8,91,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2853193,114.0374633
惠康超市,Cheung Chau,ChIJVxfIaJJWATQRvVgHtXZS-m4,4.0,2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2070974,114.0288227
Wellcome,"Block ABC, G/F, Block 6, AB 1/F, 89-91 San Hing St",ChIJDcC7j41WATQR1nEKWsU2REs,4.0,21,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2087745,114.0286559
