name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,district
wellcome,"125, Metro Harbour View Plaza, 8 Fuk Lee St, Tai Kok Tsui, Hong Kong",ChIJfzdi4rAABDQRYsiJViBAKIs,3.7,259,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3244101,114.1604543,117,Sham Shui Po
Wellcome,"84-90號 Queen's Road Central, Central, Hong Kong",ChIJ5b0oWHsABDQRJUwc57avQ94,3.8,362,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2832453,114.1551054,116,Central and Western District
Wellcome,"319 Nathan Rd, Jordan, Hong Kong",ChIJG3W4guwABDQRsYiKQEyeUvU,3.6,275,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3064357,114.1713617,98,Yau Tsim Mong
Wellcome,"Shop No.23, G/F, Hoi Fu Shopping Centre, 2 Hoi Ting Rd, Mong Kok, Hong Kong",ChIJvdn9MLkABDQRbEofjcY9gsc,3.6,215,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.315173,114.1644146,94,Yau Tsim Mong
Wellcome,"G/F, TG Place, 8 Shing Yip St, Kwun Tong, Hong Kong",ChIJabudQ0UBBDQRF2ggpcEzLiE,3.5,182,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3104166,114.2257449,78,Kwon Tong
Wellcome,"Far East Consortium Building, 204-206 Nathan Rd, Tsim Sha Tsui, Hong Kong",ChIJK8CLjesABDQRb5SeNhHVk1k,3.9,118,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3037107,114.1719475,93,Yau Tsim Mong
Wellcome,"Shop No. 6B & No. 6C1, G/F, Ka Wo Bldg, Nos, 14-22 Ka Wo St, Hong Kong",ChIJt_IRRAEABDQRdjnnirMxhBc,3.5,20,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2500469,114.1485326,42,Southern
Wellcome - Causeway Bay,"25-29號 Great George St, Causeway Bay, Hong Kong",ChIJk3dQL1QABDQRM77UUNtOEYQ,4.0,969,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2807587,114.1859489,93,Wan Chai
Wellcome - Lung Hang,"Hong Kong, HK HK HK 香港Shop 215, Lung Hang Shopping Centre, Lung Hang Estate",ChIJBX4s-QUHBDQR-koBBpJUx10,3.7,253,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3678964,114.179374,44,Sha Tin
Wellcome,"Jade Mansion, 40 Waterloo Rd, Yau Ma Tei, Hong Kong",ChIJgY04H8EABDQR3h5KFWbhB9I,3.7,190,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3127853,114.1710185,116,Yau Tsim Mong
Wellcome,"Hong Kong, Ho Man Tin, Liberty Ave, 7號富威花園地下C舖",ChIJTf5c_sUABDQRk4rI4qqKbQI,3.8,29,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3189264,114.174401,120,Yau Tsim Mong
Wellcome Superstore,"Tsui Wan Mansion, Shop 1-3 G/F, Tsui Wan Building, 155-163 Un Chau St, Hong Kong",ChIJVfS7lUwHBDQRyX1mnFM98Bg,3.6,162,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3342794,114.1605726,147,Sham Shui Po
Wellcome,"Everwin Mansion, 號, 18 Johnston Rd, Hong Kong",ChIJteIxGF0ABDQR1l4Qg_6i7sM,3.7,139,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2770995,114.1700787,84,Wan Chai
Wellcome,"Shop B, Upper Ground Floor, 989-992 King's, King's Rd, Quarry Bay, Hong Kong",ChIJz-BrenMBBDQRSxxULKE6CeI,3.6,291,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2857259,114.2114493,35,Eastern
