name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district
001-001,22.188762,22.2128642,113.839997,113.87176193333332,0,,,0,0,0,
001-002,22.188762,22.2128642,113.87176193333332,113.90352686666668,0,,,0,0,0,
001-003,22.188762,22.2128642,113.90352686666668,113.9352918,0,,,0,0,0,
001-004,22.188762,22.2128642,113.9352918,113.96705673333334,0,,,0,0,0,
001-005,22.188762,22.2128642,113.96705673333334,113.99882166666669,0,,,0,0,0,
001-006,22.188762,22.2128642,113.99882166666669,114.0305866,0,,,0,0,4,
001-007,22.188762,22.2128642,114.0305866,114.06235153333334,0,,,0,0,0,
001-008,22.188762,22.2128642,114.06235153333334,114.09411646666666,0,,,0,0,0,
001-009,22.188762,22.2128642,114.09411646666666,114.1258814,0,,,0,0,0,
001-010,22.188762,22.2128642,114.1258814,114.15764633333332,0,,,0,0,0,
001-011,22.188762,22.2128642,114.15764633333332,114.18941126666668,0,,,0,0,0,
001-012,22.188762,22.2128642,114.18941126666668,114.2211762,0,,,6,0,0,
001-013,22.188762,22.2128642,114.2211762,114.25294113333334,0,,,0,0,0,
001-014,22.188762,22.2128642,114.25294113333334,114.28470606666669,0,,,0,0,0,
001-015,22.188762,22.2128642,114.28470606666669,114.316471,0,,,0,0,0,
002-001,22.2128642,22.2369664,113.839997,113.87176193333332,0,,,0,0,0,
002-002,22.2128642,22.2369664,113.87176193333332,113.90352686666668,0,,,5,0,0,
002-003,22.2128642,22.2369664,113.90352686666668,113.9352918,0,,,21,0,0,
002-004,22.2128642,22.2369664,113.9352918,113.96705673333334,0,,,20,0,1,
002-005,22.2128642,22.2369664,113.96705673333334,113.99882166666669,0,,,0,0,0,
002-006,22.2128642,22.2369664,113.99882166666669,114.0305866,0,,,0,0,0,
002-007,22.2128642,22.2369664,114.0305866,114.06235153333334,0,,,0,0,0,
002-008,22.2128642,22.2369664,114.06235153333334,114.09411646666666,0,,,0,0,0,
002-009,22.2128642,22.2369664,114.09411646666666,114.1258814,0,,,0,0,0,
002-010,22.2128642,22.2369664,114.1258814,114.15764633333332,0,,,0,0,0,
002-011,22.2128642,22.2369664,114.15764633333332,114.18941126666668,0,,,1,0,0,
002-012,22.2128642,22.2369664,114.18941126666668,114.2211762,1,4.1,63.0,52,0,0,
002-013,22.2128642,22.2369664,114.2211762,114.25294113333334,1,4.1,57.0,16,0,0,
002-014,22.2128642,22.2369664,114.25294113333334,114.28470606666669,0,,,0,0,0,
002-015,22.2128642,22.2369664,114.28470606666669,114.316471,0,,,0,0,0,
003-001,22.2369664,22.2610686,113.839997,113.87176193333332,0,,,6,0,0,
003-002,22.2369664,22.2610686,113.87176193333332,113.90352686666668,0,,,23,0,0,
003-003,22.2369664,22.2610686,113.90352686666668,113.9352918,0,,,1,0,0,
003-004,22.2369664,22.2610686,113.9352918,113.96705673333334,0,,,9,0,0,
003-005,22.2369664,22.2610686,113.96705673333334,113.99882166666669,0,,,20,0,1,
003-006,22.2369664,22.2610686,113.99882166666669,114.0305866,0,,,0,0,0,
003-007,22.2369664,22.2610686,114.0305866,114.06235153333334,0,,,0,0,0,
003-008,22.2369664,22.2610686,114.06235153333334,114.09411646666666,0,,,0,0,0,
003-009,22.2369664,22.2610686,114.09411646666666,114.1258814,0,,,0,0,0,
003-010,22.2369664,22.2610686,114.1258814,114.15764633333332,2,3.5,101.0,92,0,7,Southern
003-011,22.2369664,22.2610686,114.15764633333332,114.18941126666668,0,,,46,0,0,
003-012,22.2369664,22.2610686,114.18941126666668,114.2211762,0,,,21,0,0,
003-013,22.2369664,22.2610686,114.2211762,114.25294113333334,0,,,15,0,0,
003-014,22.2369664,22.2610686,114.25294113333334,114.28470606666669,0,,,0,0,0,
003-015,22.2369664,22.2610686,114.28470606666669,114.316471,0,,,0,0,0,
004-001,22.2610686,22.2851708,113.839997,113.87176193333332,0,,,0,0,0,
004-002,22.2610686,22.2851708,113.87176193333332,113.90352686666668,0,,,0,0,0,
004-003,22.2610686,22.2851708,113.90352686666668,113.9352918,1,3.6,214.0,13,0,3,
004-004,22.2610686,22.2851708,113.9352918,113.96705673333334,0,,,19,0,1,Islands District
004-005,22.2610686,22.2851708,113.96705673333334,113.99882166666669,0,,,4,0,0,
004-006,22.2610686,22.2851708,113.99882166666669,114.0305866,1,3.9,140.0,3,0,2,
004-007,22.2610686,22.2851708,114.0305866,114.06235153333334,0,,,0,0,0,
004-008,22.2610686,22.2851708,114.06235153333334,114.09411646666666,0,,,0,0,0,
004-009,22.2610686,22.2851708,114.09411646666666,114.1258814,0,,,26,0,0,
004-010,22.2610686,22.2851708,114.1258814,114.15764633333332,7,3.814285714285714,182.71428571428572,124,0,4,Central and Western District
004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.7399999999999998,420.0,200,8,6,Wan Chai
004-012,22.2610686,22.2851708,114.18941126666668,114.2211762,0,,,77,2,5,
004-013,22.2610686,22.2851708,114.2211762,114.25294113333334,0,,,116,4,5,Eastern
004-014,22.2610686,22.2851708,114.25294113333334,114.28470606666669,0,,,6,0,0,
004-015,22.2610686,22.2851708,114.28470606666669,114.316471,0,,,0,0,0,
005-001,22.2851708,22.309273,113.839997,113.87176193333332,0,,,0,0,0,
005-002,22.2851708,22.309273,113.87176193333332,113.90352686666668,0,,,2,0,0,
005-003,22.2851708,22.309273,113.90352686666668,113.9352918,0,,,20,0,1,
005-004,22.2851708,22.309273,113.9352918,113.96705673333334,0,,,31,1,10,
005-005,22.2851708,22.309273,113.96705673333334,113.99882166666669,0,,,3,0,0,
005-006,22.2851708,22.309273,113.99882166666669,114.0305866,0,,,30,0,2,
005-007,22.2851708,22.309273,114.0305866,114.06235153333334,0,,,0,0,1,
005-008,22.2851708,22.309273,114.06235153333334,114.09411646666666,0,,,0,0,0,
005-009,22.2851708,22.309273,114.09411646666666,114.1258814,0,,,0,0,0,
005-010,22.2851708,22.309273,114.1258814,114.15764633333332,5,3.6399999999999997,121.8,66,1,5,
005-011,22.2851708,22.309273,114.15764633333332,114.18941126666668,8,3.7750000000000004,207.5,127,6,18,
005-012,22.2851708,22.309273,114.18941126666668,114.2211762,5,3.66,216.6,78,5,5,
005-013,22.2851708,22.309273,114.2211762,114.25294113333334,4,3.4749999999999996,123.0,59,5,4,
005-014,22.2851708,22.309273,114.25294113333334,114.28470606666669,0,,,38,1,0,
005-015,22.2851708,22.309273,114.28470606666669,114.316471,0,,,14,0,0,
006-001,22.309273,22.3333752,113.839997,113.87176193333332,0,,,0,0,0,
006-002,22.309273,22.3333752,113.87176193333332,113.90352686666668,0,,,0,0,0,
006-003,22.309273,22.3333752,113.90352686666668,113.9352918,0,,,2,0,0,
006-004,22.309273,22.3333752,113.9352918,113.96705673333334,0,,,14,2,0,
006-005,22.309273,22.3333752,113.96705673333334,113.99882166666669,0,,,6,0,0,
006-006,22.309273,22.3333752,113.99882166666669,114.0305866,0,,,1,2,0,
006-007,22.309273,22.3333752,114.0305866,114.06235153333334,0,,,2,1,0,
006-008,22.309273,22.3333752,114.06235153333334,114.09411646666666,0,,,0,0,0,
006-009,22.309273,22.3333752,114.09411646666666,114.1258814,0,,,0,0,0,
006-010,22.309273,22.3333752,114.1258814,114.15764633333332,1,3.8,17.0,29,2,2,
006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,25,3.656,121.28,332,10,29,Sham Shui Po
006-012,22.309273,22.3333752,114.18941126666668,114.2211762,1,3.2,170.0,150,2,10,Kowloon City District
006-013,22.309273,22.3333752,114.2211762,114.25294113333334,3,3.6,220.0,136,1,5,Kwon Tong
006-014,22.309273,22.3333752,114.25294113333334,114.28470606666669,0,,,73,2,0,
006-015,22.309273,22.3333752,114.28470606666669,114.316471,0,,,1,0,0,
007-001,22.3333752,22.3574774,113.839997,113.87176193333332,0,,,0,0,0,
007-002,22.3333752,22.3574774,113.87176193333332,113.90352686666668,0,,,0,0,0,
007-003,22.3333752,22.3574774,113.90352686666668,113.9352918,0,,,0,0,0,
007-004,22.3333752,22.3574774,113.9352918,113.96705673333334,0,,,0,0,0,
007-005,22.3333752,22.3574774,113.96705673333334,113.99882166666669,0,,,0,0,0,
007-006,22.3333752,22.3574774,113.99882166666669,114.0305866,0,,,0,0,0,
007-007,22.3333752,22.3574774,114.0305866,114.06235153333334,0,,,12,0,0,
007-008,22.3333752,22.3574774,114.06235153333334,114.09411646666666,0,,,1,0,0,
007-009,22.3333752,22.3574774,114.09411646666666,114.1258814,6,3.5333333333333337,45.0,57,0,5,Kwai Tsing
007-010,22.3333752,22.3574774,114.1258814,114.15764633333332,9,3.177777777777778,131.11111111111111,114,7,11,
007-011,22.3333752,22.3574774,114.15764633333332,114.18941126666668,4,3.625,88.25,109,3,3,
007-012,22.3333752,22.3574774,114.18941126666668,114.2211762,5,3.5200000000000005,102.4,115,3,3,Wong Tai Sin
007-013,22.3333752,22.3574774,114.2211762,114.25294113333334,0,,,19,0,0,
007-014,22.3333752,22.3574774,114.25294113333334,114.28470606666669,0,,,9,0,0,
007-015,22.3333752,22.3574774,114.28470606666669,114.316471,0,,,0,0,0,
008-001,22.3574774,22.3815796,113.839997,113.87176193333332,0,,,0,0,0,
008-002,22.3574774,22.3815796,113.87176193333332,113.90352686666668,0,,,0,0,0,
008-003,22.3574774,22.3815796,113.90352686666668,113.9352918,0,,,4,0,0,
008-004,22.3574774,22.3815796,113.9352918,113.96705673333334,0,,,27,0,3,
008-005,22.3574774,22.3815796,113.96705673333334,113.99882166666669,0,,,29,0,1,
008-006,22.3574774,22.3815796,113.99882166666669,114.0305866,0,,,31,0,0,
008-007,22.3574774,22.3815796,114.0305866,114.06235153333334,0,,,24,0,0,
008-008,22.3574774,22.3815796,114.06235153333334,114.09411646666666,0,,,14,0,0,
008-009,22.3574774,22.3815796,114.09411646666666,114.1258814,11,3.5545454545454547,128.1818181818182,126,5,14,Tsuen Wan District
008-010,22.3574774,22.3815796,114.1258814,114.15764633333332,10,3.69,60.8,104,1,7,
008-011,22.3574774,22.3815796,114.15764633333332,114.18941126666668,2,3.45,152.5,82,2,3,
008-012,22.3574774,22.3815796,114.18941126666668,114.2211762,0,,,42,1,1,
008-013,22.3574774,22.3815796,114.2211762,114.25294113333334,0,,,1,0,0,
008-014,22.3574774,22.3815796,114.25294113333334,114.28470606666669,0,,,15,0,0,
008-015,22.3574774,22.3815796,114.28470606666669,114.316471,0,,,0,0,0,
009-001,22.3815796,22.4056818,113.839997,113.87176193333332,0,,,0,0,0,
009-002,22.3815796,22.4056818,113.87176193333332,113.90352686666668,0,,,0,0,0,
009-003,22.3815796,22.4056818,113.90352686666668,113.9352918,0,,,9,0,0,
009-004,22.3815796,22.4056818,113.9352918,113.96705673333334,0,,,11,0,3,
009-005,22.3815796,22.4056818,113.96705673333334,113.99882166666669,0,,,73,1,18,Tuen Mun
009-006,22.3815796,22.4056818,113.99882166666669,114.0305866,0,,,0,0,0,
009-007,22.3815796,22.4056818,114.0305866,114.06235153333334,0,,,0,0,0,
009-008,22.3815796,22.4056818,114.06235153333334,114.09411646666666,0,,,0,0,0,
009-009,22.3815796,22.4056818,114.09411646666666,114.1258814,0,,,11,0,0,
009-010,22.3815796,22.4056818,114.1258814,114.15764633333332,0,,,2,0,0,
009-011,22.3815796,22.4056818,114.15764633333332,114.18941126666668,0,,,3,1,0,
009-012,22.3815796,22.4056818,114.18941126666668,114.2211762,1,3.8,60.0,70,4,13,Sha Tin
009-013,22.3815796,22.4056818,114.2211762,114.25294113333334,0,,,2,0,1,
009-014,22.3815796,22.4056818,114.25294113333334,114.28470606666669,0,,,22,0,0,Sai Kung Area
009-015,22.3815796,22.4056818,114.28470606666669,114.316471,0,,,17,0,0,
010-001,22.4056818,22.429784,113.839997,113.87176193333332,0,,,0,0,0,
010-002,22.4056818,22.429784,113.87176193333332,113.90352686666668,0,,,0,0,0,
010-003,22.4056818,22.429784,113.90352686666668,113.9352918,0,,,1,0,0,
010-004,22.4056818,22.429784,113.9352918,113.96705673333334,0,,,6,0,3,
010-005,22.4056818,22.429784,113.96705673333334,113.99882166666669,0,,,48,1,9,
010-006,22.4056818,22.429784,113.99882166666669,114.0305866,0,,,11,0,0,
010-007,22.4056818,22.429784,114.0305866,114.06235153333334,0,,,7,0,0,Yuen Long District
010-008,22.4056818,22.429784,114.06235153333334,114.09411646666666,0,,,26,0,0,
010-009,22.4056818,22.429784,114.09411646666666,114.1258814,0,,,9,0,0,
010-010,22.4056818,22.429784,114.1258814,114.15764633333332,0,,,0,0,0,
010-011,22.4056818,22.429784,114.15764633333332,114.18941126666668,0,,,0,0,0,
010-012,22.4056818,22.429784,114.18941126666668,114.2211762,0,,,31,1,1,
010-013,22.4056818,22.429784,114.2211762,114.25294113333334,1,3.3,72.0,46,4,15,
010-014,22.4056818,22.429784,114.25294113333334,114.28470606666669,0,,,13,0,0,
010-015,22.4056818,22.429784,114.28470606666669,114.316471,0,,,0,0,0,
011-001,22.429784,22.4538862,113.839997,113.87176193333332,0,,,0,0,0,
011-002,22.429784,22.4538862,113.87176193333332,113.90352686666668,0,,,0,0,0,
011-003,22.429784,22.4538862,113.90352686666668,113.9352918,0,,,0,0,0,
011-004,22.429784,22.4538862,113.9352918,113.96705673333334,0,,,0,0,0,
011-005,22.429784,22.4538862,113.96705673333334,113.99882166666669,0,,,33,0,2,
011-006,22.429784,22.4538862,113.99882166666669,114.0305866,1,3.6,181.0,106,2,17,
011-007,22.429784,22.4538862,114.0305866,114.06235153333334,0,,,36,1,3,
011-008,22.429784,22.4538862,114.06235153333334,114.09411646666666,0,,,38,1,0,
