district,latitude,longitude
Central and Western District,22.28219,114.14486
Eastern,22.27722,114.22519
Islands District,22.26382,113.96038
Kowloon City District,22.32866,114.19121
Kwai Tsing,22.35288,114.10004
Kwon Tong,22.31326,114.22581
North,22.49471,114.13812
Sai Kung Area,22.38198,114.27017
Sha Tin,22.38715,114.19534
Sham Shui Po,22.32989,114.1625
Southern,22.25801,114.15308
Tai Po District,22.43995,114.1654
Tsuen Wan District,22.37908,114.10598
Tuen Mun,22.39161,113.96792
Wan Chai,22.27702,114.17232
Wong Tai Sin,22.34299,114.19302
Yau Tsim Mong,22.32105,114.17261
Yuen Long District,22.41667,114.05
